state_hash,n_samples,regime,momentum,participation,mean_5d,median_5d,std_5d,min_5d,max_5d,hit_rate_5d,mean_10d,median_10d,std_10d,hit_rate_10d,mean_20d,median_20d,std_20d,hit_rate_20d,avg_mae_5d,median_mae_5d,worst_mae_5d,avg_mfe_5d,median_mfe_5d,best_mfe_5d,avg_mae_20d,avg_mfe_20d,confidence_score,risk_reward_5d,expectancy_5d,edge_class
Rd_Mv_Pa,136,downtrend,diverging,accumulation,0.25733915893524933,0.14011041403654245,3.362672603733549,-8.27506456540863,8.90444113432846,50.73529411764706,0.6541428406969771,1.0140063064732117,5.564829278456935,57.35294117647059,-0.5862866824459662,-0.833330830179124,6.489719288015374,46.32352941176471,-1.6669341334833627,-1.0110013752616305,-8.27506456540863,2.141731846111486,1.562655419422443,8.90444113432846,-4.595453530663657,5.636564666685997,40.44117647058823,1.2848329175646231,0.26540375322284704,neutral
Rd_Mc_Pn,152,downtrend,cooling,neutral,-0.16689812566624537,-0.0436430233181853,4.07402247296378,-12.791583144986117,15.955198419773104,49.34210526315789,-0.01520098622580849,-0.2866374547812182,6.192846366626788,48.026315789473685,0.8374646518287512,-0.20459094750022716,9.096502346734216,48.026315789473685,-2.559904432311982,-1.6767678257749827,-13.011011414326724,2.1634748582854058,1.3068382700359202,15.955198419773104,-5.541398470996572,6.115752597651794,40.39473684210527,0.8451389165069181,-0.22928965076721863,neutral
Rd_Mc_Pt,152,downtrend,cooling,thinning,-0.2730947786555176,0.0350850528356976,5.2061287147738025,-18.40385956210949,20.57197368404305,50.0,-0.505417888527776,-1.0177789038886926,7.192466115401324,46.05263157894737,-0.5280481429165945,-0.8549512603661971,9.599674926318242,44.73684210526316,-2.5806688317077984,-1.1390680151068744,-18.40385956210949,2.336296216485559,1.4372053519400665,20.57197368404305,-6.3000481208159655,5.614739463784215,40.0,0.9053064801575017,-0.1221863076111196,neutral
Rd_Ma_Pt,89,downtrend,accelerating,thinning,0.3196274177944992,0.4149670386072411,3.1151598913320218,-9.325685208844202,6.512929439119489,57.30337078651685,0.810625635946921,1.683404733751253,4.351325573200687,60.67415730337079,1.1320769247166462,0.9112439166453816,7.751950969303935,59.55056179775281,-1.7917082996198659,-0.9087390761702628,-9.325685208844202,1.9187161188645256,1.509150013534421,6.719929646803196,-4.317316080419754,5.3091554740589935,39.98202247191011,1.0708864379718541,0.3344899626577066,bullish
Rd_Mc_Pa,90,downtrend,cooling,accumulation,-0.7574449977651079,-0.2374160611757545,5.7556455137122535,-24.20901079699591,13.142784069389728,47.77777777777778,-0.40923358288098655,-0.38737580790103743,6.086656464670317,47.77777777777778,-1.5892728996688554,-1.0465732648825266,9.006014433451012,44.44444444444444,-2.9857942955528167,-1.337120422454828,-26.477041968958304,2.388958403195026,1.3467155516785392,13.142784069389728,-6.012510021006314,5.1838356983372815,37.333333333333336,0.8001081677841148,-0.4178568950399586,neutral
Rr_Mc_Pn,89,range,cooling,neutral,-0.26823681640088326,-0.0411182413851402,3.809391627676035,-14.664095654929945,7.849516988633383,49.43820224719101,-0.6397123104281465,-0.0292357526717764,5.034686245436985,48.31460674157304,-0.049790160608459415,0.5078574917744153,7.322254809674349,55.0561797752809,-2.0917507536437827,-1.2496825106402538,-14.664095654929945,1.917958983930438,1.4757900902313017,7.849516988633383,-5.087464735274078,4.407317449668366,35.9370786516854,0.9169156414020154,-0.10942234405652762,neutral
Ru_Ma_Pn,54,uptrend,accelerating,neutral,0.8593439172511546,0.298374697155066,3.465317606878613,-7.495235473384445,11.876423899168254,57.407407407407405,1.8196137382205753,1.8027123397358058,5.205811048944461,68.51851851851852,1.125897323926894,2.264857282263507,8.314019196437581,57.407407407407405,-1.3653035908746765,-0.682515556632328,-9.903238619768628,2.3813604330814666,1.469669630060869,13.059509008229636,-4.4347876290967845,6.489811705392491,35.88186728928534,1.7441984691154715,0.7855590895445909,bullish
Rd_Mc_Pc,56,downtrend,cooling,confirming,1.3464986345974663,0.3294833262648874,5.277141748211042,-5.227693533176492,25.406232264456023,53.57142857142857,1.9700546040749807,1.4739089198742932,4.806309534482141,66.07142857142857,3.716028587732746,2.6912315521998207,6.569099654754486,69.64285714285714,-1.6259562574813182,-1.0664581143311322,-5.534988050869635,2.8847935828864104,0.9420833590192104,28.08258225327116,-2.435031013626229,6.80615753282411,34.94706397746475,1.7742135248798696,0.7905168712871078,asymmetric_bullish
Rr_Ma_Pt,74,range,accelerating,thinning,0.3561579054739241,0.6417024042315069,3.929944130520888,-9.456771919624602,10.672581094805071,58.108108108108105,0.5138849543699513,0.2121309044249518,5.921045438406187,51.35135135135135,-0.2548166114929394,-1.3049148925206833,13.122371609083768,48.64864864864865,-1.8328791912904512,-1.1149577463150078,-9.456771919624602,2.2803046218255907,1.817446507147047,10.672581094805071,-7.174704869901108,7.169211800661481,34.464864864864865,1.244110704437714,0.5572141055202215,bullish
Rd_Mv_Pc,37,downtrend,diverging,confirming,0.6872009312389391,0.3705618538977022,2.376851300302978,-7.133073116490942,5.928871195833797,59.45945945945946,1.65646753603366,1.666971074647314,3.8464322559934776,67.56756756756756,3.451901482570024,4.5584929367152505,5.931264247304054,72.97297297297297,-1.0894797611187386,-0.5434742276456954,-8.512718814360749,1.7648064911670993,1.2051313351362,6.237512388554489,-2.313176688916986,6.2633573934654,33.18196147757494,1.6198616570489548,0.607663415916084,bullish
Ru_Mc_Pn,74,uptrend,cooling,neutral,-0.10478962035272078,-0.38710977473770286,4.1241912525922935,-7.6123616055937715,15.864877741226316,47.2972972972973,-0.6526591115572589,-0.7160633222476258,6.0300854099849595,41.891891891891895,-1.4778746900815087,-2.9757585256172963,9.498283041198647,39.189189189189186,-2.016189137955755,-1.4343560531650579,-7.6123616055937715,2.332872505914329,1.4774294960485554,17.261878635262708,-6.349700669294643,5.541605299768216,31.221621621621622,1.1570702678617069,0.040799477388203664,neutral
Rr_Ma_Pc,67,range,accelerating,confirming,0.34113057251966045,0.609864430848499,4.40353396756101,-15.956591688554036,13.599885241568671,55.223880597014926,0.8151757064650166,2.3175194223092657,6.178131098711729,68.65671641791045,-0.678964797109345,-1.5756164671309576,11.565914672628438,40.298507462686565,-2.0306750183555184,-1.0804582153069993,-15.956591688554036,2.3708412990567616,1.722725838286289,13.599885241568671,-6.286385069053952,6.7037289436657685,29.934328358208955,1.1675138944569854,0.4000130972303676,bullish
Rr_Ma_Pn,64,range,accelerating,neutral,0.5018144222123204,0.6235293559369044,4.238856589041848,-18.72088082181598,9.27059198516648,54.6875,1.411229586985065,1.2005989316506671,5.731260620204886,60.9375,1.9642083589428398,2.1977707443974857,7.862040434906376,59.375,-1.841080295376146,-1.335861092337613,-18.72088082181598,2.6077172134005107,1.9215883562493374,9.27059198516648,-3.9720951429487217,5.64376717004324,28.4125,1.4164060198513695,0.5918558422360881,neutral
Rd_Ma_Pc,44,downtrend,accelerating,confirming,-0.5347439563707558,-0.5267922494468135,4.735051319394098,-11.883593283811702,15.18072251581585,47.72727272727273,-1.9979894037529524,-0.9813060874051358,6.995409206901049,36.36363636363637,-0.5398013618467499,-0.9580289524714903,6.0473296545463056,40.909090909090914,-2.7940474523859025,-1.8112636365558754,-11.883593283811702,2.4336115201686024,1.8254126138025581,15.318414376090564,-5.735872605530925,4.349769365319421,18.963636363636365,0.8709986360791706,-0.2990283973030705,neutral
Ru_Ms_Pc,23,uptrend,steady,confirming,-0.3738761009740625,-0.728448671790152,4.51887903540498,-14.186453812724553,9.08214671043292,47.82608695652174,0.7365183228355099,-0.2656871019972371,8.203043482656966,43.47826086956522,3.2736451809624354,2.76896281733695,12.737720863956259,56.52173913043478,-2.2590276294099083,-1.2384476330267835,-15.285498421636456,2.81616543093179,2.18876943917819,9.08214671043292,-5.028196460127888,8.483430836917066,10.504347826086956,1.2466272631058588,0.16823861684046926,neutral
